City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness
206,Mogadishu,SO,2022-03-30 18:39:41,2.0371,45.3438,81.18,82,75
207,Chalmette,US,2022-03-30 18:44:36,29.9427,-89.9634,80.58,63,100
208,Barentu,ER,2022-03-30 18:44:36,15.1139,37.5928,81.73,28,0
209,Nikolskoye,RU,2022-03-30 18:43:06,59.7035,30.7861,26.8,87,44
210,Svetlaya,RU,2022-03-30 18:44:37,46.5389,138.3297,25.59,76,2
211,Kununurra,AU,2022-03-30 18:44:37,-15.7667,128.7333,73.38,94,23
212,Betul,IN,2022-03-30 18:40:08,21.9153,77.8961,81.79,13,0
213,Antofagasta,CL,2022-03-30 18:44:38,-23.65,-70.4,72.21,49,3
214,Labuhan,ID,2022-03-30 18:44:39,-6.8844,112.2051,79.34,83,40
215,Krasnoselkup,RU,2022-03-30 18:44:40,65.7,82.4667,29.25,92,100
216,Yar-Sale,RU,2022-03-30 18:44:40,66.8333,70.8333,27.59,97,100
217,Oum Hadjer,TD,2022-03-30 18:44:41,13.2954,19.6966,89.08,6,67
218,Kavieng,PG,2022-03-30 18:44:41,-2.5744,150.7967,83.28,77,100
219,Hovd,MN,2022-03-30 18:44:42,48.0056,91.6419,26.47,34,0
220,Cabo San Lucas,MX,2022-03-30 18:40:32,22.8909,-109.9124,79.9,58,0
221,Daru,PG,2022-03-30 18:44:43,-9.0763,143.2092,77.18,89,100
222,Suntar,RU,2022-03-30 18:45:43,62.1444,117.6319,7.99,99,96
223,Port Hardy,CA,2022-03-30 18:45:14,50.6996,-127.4199,44.78,81,100
224,Siparia,TT,2022-03-30 18:45:44,10.1333,-61.5,86.79,71,99
225,Greytown,ZA,2022-03-30 18:45:45,-29.0642,30.5928,63.21,78,1
226,Ancud,CL,2022-03-30 18:42:08,-41.8697,-73.8203,53.22,59,42
227,Lichinga,MZ,2022-03-30 18:45:45,-13.3128,35.2406,66.29,94,20
228,Alofi,NU,2022-03-30 18:45:46,-19.0595,-169.9187,73.29,100,100
229,Puerto Colombia,CO,2022-03-30 18:45:46,10.9878,-74.9547,87.89,76,100
230,Udaipur,IN,2022-03-30 18:42:00,24.5712,73.6918,81.05,14,0
231,Baruun-Urt,MN,2022-03-30 18:45:47,46.6806,113.2792,19.58,54,1
232,Birao,CF,2022-03-30 18:45:48,10.2849,22.7882,81.25,9,71
233,Dunedin,NZ,2022-03-30 18:45:48,-45.8742,170.5036,60.8,90,100
234,Pangnirtung,CA,2022-03-30 18:45:49,66.1451,-65.7125,23.0,80,100
235,Hamilton,US,2022-03-30 18:41:50,39.1834,-84.5333,81.45,23,20
236,Sao Joao Da Barra,BR,2022-03-30 18:40:53,-21.6403,-41.0511,93.29,76,6
237,Straumen,NO,2022-03-30 18:45:50,63.8709,11.2999,33.8,73,100
238,Bridlington,GB,2022-03-30 18:45:50,54.0831,-0.1919,37.89,59,70
239,Opochka,RU,2022-03-30 18:45:51,56.7105,28.6617,19.31,84,4
240,Tubuala,PA,2022-03-30 18:45:51,9.5167,-79.0333,80.67,82,63
241,Olafsvik,IS,2022-03-30 18:45:52,64.8945,-23.7142,37.4,76,86
242,Comodoro Rivadavia,AR,2022-03-30 18:42:11,-45.8667,-67.5,58.86,33,0
243,Namatanai,PG,2022-03-30 18:45:53,-3.6667,152.4333,79.7,83,35
244,Hue,VN,2022-03-30 18:45:53,16.4667,107.6,73.51,94,75
245,Volksrust,ZA,2022-03-30 18:45:54,-27.3654,29.8818,57.45,48,1
246,Taebla,EE,2022-03-30 18:45:54,58.9547,23.7419,29.88,66,82
247,Divnomorskoye,RU,2022-03-30 18:45:55,44.5011,38.1353,45.77,91,9
248,Walvis Bay,NA,2022-03-30 18:45:55,-22.9575,14.5053,65.35,77,0
249,Diego De Almagro,CL,2022-03-30 18:45:56,-26.3667,-70.05,80.38,18,0
250,Kahului,US,2022-03-30 18:45:56,20.8947,-156.47,77.97,73,40
251,Pisco,PE,2022-03-30 18:45:57,-13.7,-76.2167,71.65,68,0
252,Guatire,VE,2022-03-30 18:45:57,10.4762,-66.5427,88.7,51,92
253,Namwala,ZM,2022-03-30 18:45:58,-15.7504,26.4384,69.17,83,99
254,Caravelas,BR,2022-03-30 18:45:58,-17.7125,-39.2481,83.16,61,5
255,Ketchikan,US,2022-03-30 18:45:59,55.3422,-131.6461,43.27,81,100
256,Chipata,ZM,2022-03-30 18:46:00,-13.6333,32.65,62.62,97,10
257,Tiksi,RU,2022-03-30 18:46:00,71.6872,128.8694,-11.18,100,98
258,Pacific Grove,US,2022-03-30 18:41:32,36.6177,-121.9166,59.02,83,100
259,Ust-Tsilma,RU,2022-03-30 18:46:01,65.441,52.1498,3.09,98,94
260,Guadalupe,MX,2022-03-30 18:43:03,25.6833,-100.25,89.35,37,1
261,Villazon,BO,2022-03-30 18:46:02,-22.0866,-65.5942,66.54,28,1
262,Kattivakkam,IN,2022-03-30 18:46:02,13.2167,80.3167,84.29,90,1
263,Klaksvik,FO,2022-03-30 18:46:03,62.2266,-6.589,34.72,54,100
264,Hambantota,LK,2022-03-30 18:46:04,6.1241,81.1185,77.34,100,40
265,Kaniama,CD,2022-03-30 18:46:04,-7.5667,24.1833,67.03,96,55
266,Norman Wells,CA,2022-03-30 18:46:05,65.282,-126.8329,6.84,72,100
267,Palmer,US,2022-03-30 18:46:05,42.1584,-72.3287,46.62,26,75
268,Amot,NO,2022-03-30 18:46:06,59.5714,7.9877,13.96,78,16
269,Mount Isa,AU,2022-03-30 18:43:40,-20.7333,139.5,73.17,28,19
270,Chokurdakh,RU,2022-03-30 18:47:07,70.6333,147.9167,-22.59,100,100
271,Santiago Del Estero,AR,2022-03-30 18:42:41,-27.7951,-64.2615,61.27,21,97
272,Buin,CL,2022-03-30 18:47:07,-33.7333,-70.75,79.05,6,0
273,Torbay,CA,2022-03-30 18:47:08,47.6666,-52.7314,35.58,82,75
