City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Jamestown,US,44.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
214,Shu,KZ,53.04,few clouds,43.5983,73.7614,Shyngyzkhan
216,Kumluca,TR,63.28,clear sky,36.3703,30.2869,TurkuazKöy
218,Presidencia Roque Saenz Pena,AR,68.05,overcast clouds,-26.7852,-60.4388,Hotel Gualok
219,Ballangen,NO,30.42,light shower snow,68.3428,16.8315,Ballangen Camping
221,Payakumbuh,ID,69.87,moderate rain,-0.2202,100.6308,Dalimo Homestay
222,Kawalu,ID,73.15,overcast clouds,-7.3817,108.2082,West Jontor
225,Tasiilaq,GL,33.96,snow,65.6145,-37.6368,The Red House
227,Zhangye,CN,49.03,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
228,Port Hardy,CA,42.98,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
229,Zharkent,KZ,58.57,broken clouds,44.1628,80.0,гостиница Satti
230,Zarate,AR,71.82,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
233,Agadir,MA,68.45,few clouds,30.4202,-9.5982,Iberostar Founty Beach
236,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
237,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
241,Asau,RO,49.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
242,Launceston,AU,55.8,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
244,Rivadavia,AR,73.9,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
247,Tonantins,BR,71.13,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
248,Maymyo,MM,70.52,clear sky,22.0333,96.4667,Tiger Hotel
249,Guerrero Negro,MX,64.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
253,Anapskaya,RU,55.26,few clouds,44.89,37.38,Continent Hotel
254,Codrington,AU,54.23,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
261,Pokrovka,KG,42.19,scattered clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
262,Bima,ID,74.97,scattered clouds,-8.4667,118.7167,Lambitu Hotel
265,Ishinomaki,JP,39.67,clear sky,38.4167,141.3,Ishinomaki Grand Hotel
266,Banff,CA,42.03,overcast clouds,51.1762,-115.5698,Banff Aspen Lodge
267,Soe,ID,63.1,clear sky,-9.8607,124.284,Dena Hotel
269,Muroto,JP,52.45,overcast clouds,33.2833,134.15,Oota Ryokan
270,Timra,SE,35.28,overcast clouds,62.487,17.3257,Bergefors park
275,Xiaoweizhai,CN,47.12,few clouds,26.1903,107.5125,Karst Youth Hostel
282,Salinas,US,61.02,mist,36.6777,-121.6555,Laurel Inn & Conference Center
283,Tuatapere,NZ,48.4,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
284,Rocha,UY,73.35,clear sky,-34.4833,-54.3333,Hotel Arrarte
285,Olbia,IT,44.65,scattered clouds,40.9214,9.4856,Hotel Maxim
