City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Geraldton,AU,-28.7667,114.6,73.81,94,100,5.75,overcast clouds
238,Cayenne,GF,4.9333,-52.3333,80.1,1,100,9.22,heavy intensity rain
239,Taoudenni,ML,22.6783,-3.9836,98.78,5,0,14.58,clear sky
240,Beringovskiy,RU,63.05,179.3167,10.2,95,100,9.84,light snow
241,Asau,RO,46.4333,26.4,49.28,81,99,5.35,overcast clouds
242,Launceston,AU,-41.45,147.1667,55.8,74,100,18.41,overcast clouds
243,Meulaboh,ID,4.1363,96.1285,78.35,85,100,2.57,overcast clouds
244,Rivadavia,AR,-33.1905,-68.4608,73.9,20,0,13.49,clear sky
245,Pimentel,PE,-6.8367,-79.9342,80.89,57,0,12.66,clear sky
246,Vardo,NO,70.3705,31.1107,26.78,70,100,0.87,overcast clouds
247,Tonantins,BR,-2.8731,-67.8022,71.13,99,100,4.03,overcast clouds
248,Maymyo,MM,22.0333,96.4667,70.52,53,7,5.97,clear sky
249,Guerrero Negro,MX,27.9769,-114.0611,64.06,61,5,9.44,clear sky
250,Mangaluru,IN,12.8667,74.8833,83.26,78,75,0.0,thunderstorm
251,Isangel,VU,-19.55,169.2667,79.84,87,100,8.25,light rain
252,Merauke,ID,-8.4667,140.3333,79.54,74,100,3.6,overcast clouds
253,Anapskaya,RU,44.89,37.38,55.26,66,20,13.42,few clouds
254,Codrington,AU,-38.2667,141.9667,54.23,90,69,5.59,broken clouds
255,Port Keats,AU,-14.25,129.55,78.62,52,51,2.24,broken clouds
256,Talara,PE,-4.5772,-81.2719,86.76,48,0,14.97,clear sky
257,Eyl,SO,7.9803,49.8164,80.06,75,17,10.96,few clouds
258,Buin,CL,-33.7333,-70.75,77.32,16,0,7.61,clear sky
259,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,40,10.36,scattered clouds
260,Deputatskiy,RU,69.3,139.9,-20.52,100,96,2.55,overcast clouds
261,Pokrovka,KG,42.3414,78.0056,42.19,61,38,7.63,scattered clouds
262,Bima,ID,-8.4667,118.7167,74.97,93,25,2.48,scattered clouds
263,Black River,JM,18.0264,-77.8487,87.01,57,14,17.78,few clouds
264,Kavaratti,IN,10.5669,72.642,83.19,71,48,6.06,scattered clouds
265,Ishinomaki,JP,38.4167,141.3,39.67,79,6,5.48,clear sky
266,Banff,CA,51.1762,-115.5698,42.03,48,97,6.91,overcast clouds
267,Soe,ID,-9.8607,124.284,63.1,92,9,3.56,clear sky
268,Tessalit,ML,20.1986,1.0114,100.04,10,0,9.6,clear sky
269,Muroto,JP,33.2833,134.15,52.45,62,100,15.12,overcast clouds
270,Timra,SE,62.487,17.3257,35.28,75,100,8.05,overcast clouds
271,Ibra,OM,22.6906,58.5334,81.5,24,3,2.33,clear sky
272,Cururupu,BR,-1.8283,-44.8683,82.83,78,97,5.32,overcast clouds
273,Nioro,GM,13.35,-15.75,103.05,10,19,7.02,few clouds
274,Vao,NC,-22.6667,167.4833,78.98,88,100,21.43,overcast clouds
275,Xiaoweizhai,CN,26.1903,107.5125,47.12,80,20,3.18,few clouds
276,Thinadhoo,MV,0.5333,72.9333,83.12,67,8,2.71,clear sky
277,Ostrovnoy,RU,68.0531,39.5131,18.93,88,99,15.01,overcast clouds
278,Yukamenskoye,RU,57.8865,52.2416,27.3,91,98,10.31,overcast clouds
279,Salalah,OM,17.0151,54.0924,82.49,74,0,2.3,clear sky
280,Rosa Zarate,EC,0.3333,-79.4667,88.88,59,59,2.17,light rain
281,Sampit,ID,-2.5333,112.95,75.09,96,91,2.89,overcast clouds
282,Salinas,US,36.6777,-121.6555,61.02,85,100,0.0,mist
283,Tuatapere,NZ,-46.1333,167.6833,48.4,92,69,3.33,broken clouds
284,Rocha,UY,-34.4833,-54.3333,73.35,41,0,9.42,clear sky
285,Olbia,IT,40.9214,9.4856,44.65,81,40,18.41,scattered clouds
286,Payette,US,44.0782,-116.9338,54.45,46,82,13.42,broken clouds
287,Bocanda,CI,7.0626,-4.4995,80.67,81,100,6.49,light rain
288,Caraballeda,VE,10.6112,-66.8522,91.87,58,20,4.61,few clouds
289,Bambous Virieux,MU,-20.3428,57.7575,74.21,100,75,3.44,heavy intensity rain
290,San Quintin,MX,30.4833,-115.95,60.31,70,100,5.39,overcast clouds
291,Carndonagh,IE,55.25,-7.2667,43.02,76,43,5.06,scattered clouds
292,Brive-La-Gaillarde,FR,45.25,1.5,39.27,30,93,4.54,light rain
293,Avera,US,33.194,-82.5271,70.38,42,44,3.44,scattered clouds
294,Broken Hill,AU,-31.95,141.4333,53.31,54,6,0.0,clear sky
295,Tocopilla,CL,-22.092,-70.1979,71.26,61,12,7.02,few clouds
296,Mount Isa,AU,-20.7333,139.5,76.77,27,75,10.36,light rain
297,Zhaotong,CN,27.3167,103.7167,45.16,79,93,2.77,overcast clouds
298,San Fernando,PH,15.0286,120.6898,75.42,76,83,1.79,broken clouds
299,Lubu,CN,23.1742,112.2809,55.44,83,96,2.44,overcast clouds
300,Charlestown,AU,-32.95,151.6667,58.41,93,0,1.99,clear sky
301,Nuevitas,CU,21.5453,-77.2644,87.13,54,1,13.22,clear sky
302,Thunder Bay,CA,48.4001,-89.3168,42.78,70,75,4.61,broken clouds
303,Port Macquarie,AU,-31.4333,152.9167,59.9,81,48,5.12,scattered clouds
304,Yuryevets,RU,57.3201,43.1041,30.63,96,100,16.02,snow
305,Gao,ML,16.6362,1.637,95.07,3,36,8.79,scattered clouds
306,Hualmay,PE,-11.0964,-77.6139,74.28,71,59,10.16,broken clouds
307,Cradock,ZA,-32.1642,25.6192,58.46,87,97,8.23,light rain
308,Santa Maria,BR,-29.6842,-53.8069,74.5,57,20,9.22,few clouds
309,Sheltozero,RU,61.3667,35.3667,16.92,96,66,2.82,broken clouds
310,Nangomba,TZ,-10.9,38.5,72.01,94,34,2.75,light rain
311,Sao Filipe,CV,14.8961,-24.4956,72.1,78,57,9.46,broken clouds
312,Provideniya,RU,64.3833,-173.3,9.09,67,1,10.58,clear sky
313,Mnogovershinnyy,RU,53.9353,139.9242,15.91,92,96,4.65,overcast clouds
314,Mahebourg,MU,-20.4081,57.7,74.25,100,75,3.44,heavy intensity rain
315,Manzhouli,CN,49.6,117.4333,37.15,38,1,6.35,clear sky
316,Rong Kwang,TH,18.339,100.3174,76.44,71,88,3.31,overcast clouds
317,Siparia,TT,10.1333,-61.5,87.82,72,39,1.99,scattered clouds
318,Labuhan,ID,-6.8844,112.2051,78.46,78,100,6.46,light rain
319,Hamilton,US,39.1834,-84.5333,50.22,56,0,9.22,clear sky
320,Lasa,IT,46.6166,10.7002,34.68,94,100,7.54,light snow
321,Jesup,US,31.6074,-81.8854,71.94,40,0,0.0,clear sky
322,Porosozero,RU,62.7191,32.727,13.75,93,85,2.82,overcast clouds
323,Granadilla De Abona,ES,28.1188,-16.576,62.8,67,100,5.75,overcast clouds
324,Redcliffe,AU,-27.2307,153.0973,69.89,93,20,0.0,few clouds
325,Cascais,PT,38.6979,-9.4215,65.46,36,0,24.0,clear sky
326,Tura,IN,25.5198,90.2201,72.66,85,33,2.28,scattered clouds
327,Puerto Colombia,CO,10.9878,-74.9547,89.69,75,25,20.56,scattered clouds
328,Noumea,NC,-22.2763,166.4572,82.99,99,99,11.14,overcast clouds
329,Alta Floresta,BR,-9.8756,-56.0861,82.22,74,100,1.14,overcast clouds
330,Paka,MY,4.6374,103.4368,75.13,100,85,0.0,overcast clouds
331,Buraydah,SA,26.326,43.975,84.65,9,84,11.05,broken clouds
332,Khandyga,RU,62.6667,135.6,-6.38,95,74,3.56,broken clouds
333,Pevek,RU,69.7008,170.3133,-10.41,98,100,2.17,overcast clouds
334,Qui Nhon,VN,13.7667,109.2333,72.64,81,99,24.0,overcast clouds
335,Mahibadhoo,MV,3.7833,72.9667,83.32,68,73,0.69,broken clouds
336,Ambon,ID,-3.6954,128.1814,78.94,83,40,4.61,scattered clouds
337,Lewisporte,CA,49.2499,-55.0482,46.11,91,100,10.87,overcast clouds
338,Waingapu,ID,-9.6567,120.2641,77.2,87,51,4.23,broken clouds
339,Neiafu,TO,-18.65,-173.9833,81.75,75,51,12.01,broken clouds
340,Saint George,US,37.1041,-113.5841,69.64,28,0,3.44,clear sky
341,Berdigestyakh,RU,62.0989,126.6992,21.72,96,100,6.04,snow
342,Batagay,RU,67.6333,134.6333,-4.79,97,100,0.98,overcast clouds
343,Gannan,CN,47.9147,123.5031,41.02,43,15,6.64,few clouds
344,Zalantun,CN,48.0,122.7167,38.07,47,27,3.91,scattered clouds
345,Trairi,BR,-3.2778,-39.2689,77.76,86,95,8.59,light rain
346,Pandan,PH,14.0453,124.1694,80.24,65,65,12.46,broken clouds
